goos: darwin
goarch: arm64
pkg: github.com/jonbodner/testtalk/bench
cpu: Apple M3 Max
BenchmarkFileLen/FileLen-1-16         	      49	  23937733 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      48	  24604852 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      48	  24181441 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      49	  24206287 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      48	  24003123 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      49	  24177610 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      48	  24061056 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      50	  23884377 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      49	  25185099 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-1-16         	      45	  28186591 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     388	   3071832 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     417	   3085663 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     475	   2442296 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     493	   2430459 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     495	   2451359 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     486	   2432137 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     492	   2429381 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     495	   2426457 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     495	   2429321 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-10-16        	     488	   2445073 ns/op	     128 B/op	       3 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4762	    250492 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4838	    249991 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4826	    249079 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4801	    253329 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4818	    250078 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4765	    251041 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4833	    249461 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4784	    250816 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4699	    252993 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-100-16       	    4810	    252070 ns/op	     240 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35618	     33459 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35434	     33596 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35192	     34033 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35835	     33507 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35588	     33608 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35858	     33497 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35937	     33875 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35362	     33519 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35469	     33791 ns/op	    1152 B/op	       4 allocs/op
BenchmarkFileLen/FileLen-1000-16      	   35943	     33583 ns/op	    1152 B/op	       4 allocs/op
